id,name_display,gif_url,body_part_raw,equipment_raw,target_raw,name_norm,body_part_group,equipment_group,target_group,movement_pattern,exercise_type,compound,unilateral,experience_min,skill_score,fatigue_score,time_per_set_sec,rest_time_sec,warmup_time_sec,default_sets_beginner,default_sets_intermediate,default_sets_advanced,default_reps_beginner,default_reps_intermediate,default_reps_advanced,estimated_total_time_beginner_sec
661,push-up inside leg kick,https://v2.exercisedb.io/image/c-wIuxTkS7obMe,upper legs,body weight,glutes,push_up_inside_leg_kick,upper_legs,bodyweight,upper_legs,lower_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
663,push-up medicine ball,https://v2.exercisedb.io/image/ig4auaUuQu2qvj,chest,medicine ball,pectorals,push_up_medicine_ball,chest,medicine ball,chest,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
1467,push-up on lower arms,https://v2.exercisedb.io/image/86oCPd0YvW1Mz2,upper arms,body weight,triceps,push_up_on_lower_arms,upper_arms,bodyweight,upper_arms,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
3145,push-up plus,https://v2.exercisedb.io/image/I8HQ7aJZyjK-QN,chest,body weight,pectorals,push_up_plus,chest,bodyweight,chest,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
664,push-up to side plank,https://v2.exercisedb.io/image/ygtLL3yMsfd9GN,waist,body weight,abs,push_up_to_side_plank,waist,bodyweight,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
3533,quads,https://v2.exercisedb.io/image/KGCXGJ69ngTv6K,upper legs,body weight,quads,quads,upper_legs,bodyweight,upper_legs,lower_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
3201,quarter sit-up,https://v2.exercisedb.io/image/wTTgnuf2MwZDAY,waist,body weight,abs,quarter_sit_up,waist,bodyweight,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
3552,quick feet v. 2,https://v2.exercisedb.io/image/5ZFK9VBKxu0ggN,upper legs,body weight,quads,quick_feet_v_2,upper_legs,bodyweight,upper_legs,lower_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
666,raise single arm push-up,https://v2.exercisedb.io/image/MCAp3JeMBLGioV,chest,body weight,pectorals,raise_single_arm_push_up,chest,bodyweight,chest,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
668,rear decline bridge,https://v2.exercisedb.io/image/Jclzn8UYvKkPga,upper legs,body weight,glutes,rear_decline_bridge,upper_legs,bodyweight,upper_legs,lower_body,strength,FALSE,FALSE,intermediate,5,3,35,60,60,2,3,4,10-15,08-12,08-12,250
669,rear deltoid stretch,https://v2.exercisedb.io/image/eRTKw8oQP30WZC,shoulders,body weight,delts,rear_deltoid_stretch,shoulders,bodyweight,shoulders,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
670,rear pull-up,https://v2.exercisedb.io/image/FCLINY5buxki-E,back,body weight,lats,rear_pull_up,back,bodyweight,back,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
1582,reclining big toe pose with rope,https://v2.exercisedb.io/image/TMmfulODoTnX50,upper legs,rope,hamstrings,reclining_big_toe_pose_with_rope,upper_legs,rope,upper_legs,lower_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
3236,resistance band hip thrusts on knees (female),https://v2.exercisedb.io/image/6MMtOdoxYVwaPi,upper legs,resistance band,glutes,resistance_band_hip_thrusts_on_knees_female,upper_legs,resistance band,upper_legs,lower_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
3007,resistance band leg extension,https://v2.exercisedb.io/image/S7RE-F2MlIS-Gw,upper legs,resistance band,quads,resistance_band_leg_extension,upper_legs,resistance band,upper_legs,lower_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
3123,resistance band seated biceps curl,https://v2.exercisedb.io/image/RFIMhq9Qk39q6l,upper arms,resistance band,biceps,resistance_band_seated_biceps_curl,upper_arms,resistance band,upper_arms,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
3124,resistance band seated chest press,https://v2.exercisedb.io/image/Y9Fr55jb1Lm9Cw,chest,resistance band,pectorals,resistance_band_seated_chest_press,chest,resistance band,chest,upper_body,strength,TRUE,FALSE,beginner,4,7,40,90,180,3,4,5,08-12,06-10,04-08,570
3006,resistance band seated hip abduction,https://v2.exercisedb.io/image/aQVysQtp8Za59H,upper legs,resistance band,abductors,resistance_band_seated_hip_abduction,upper_legs,resistance band,upper_legs,lower_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
3122,resistance band seated shoulder press,https://v2.exercisedb.io/image/HtZFRJC0oaFeYD,shoulders,resistance band,delts,resistance_band_seated_shoulder_press,shoulders,resistance band,shoulders,upper_body,strength,TRUE,FALSE,beginner,4,7,40,90,180,3,4,5,08-12,06-10,04-08,570
3144,resistance band seated straight back row,https://v2.exercisedb.io/image/xv9mgPAPjo5Yp5,back,resistance band,upper back,resistance_band_seated_straight_back_row,back,resistance band,upper back,upper_body,strength,TRUE,FALSE,beginner,4,7,40,90,180,3,4,5,08-12,06-10,04-08,570
872,reverse crunch,https://v2.exercisedb.io/image/CHdP8JHlAjGiSf,waist,body weight,abs,reverse_crunch,waist,bodyweight,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
672,reverse dip,https://v2.exercisedb.io/image/CWMIhiDemD43rf,upper arms,body weight,triceps,reverse_dip,upper_arms,bodyweight,upper_arms,upper_body,strength,TRUE,FALSE,beginner,4,7,40,90,180,3,4,5,08-12,06-10,04-08,570
673,reverse grip machine lat pulldown,https://v2.exercisedb.io/image/d2XJ8FybXPQMaE,back,leverage machine,lats,reverse_grip_machine_lat_pulldown,back,machine,back,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
674,reverse grip pull-up,https://v2.exercisedb.io/image/cbZdnM8ePFs2F4,back,body weight,lats,reverse_grip_pull_up,back,bodyweight,back,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
675,reverse hyper extension (on stability ball),https://v2.exercisedb.io/image/Bxf77LQjveSMvk,upper legs,stability ball,glutes,reverse_hyper_extension_on_stability_ball,upper_legs,ball,upper_legs,lower_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
1423,reverse hyper on flat bench,https://v2.exercisedb.io/image/k5J1S-R8eDzFB5,upper legs,body weight,glutes,reverse_hyper_on_flat_bench,upper_legs,bodyweight,upper_legs,lower_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
3663,reverse plank with leg lift,https://v2.exercisedb.io/image/hPL3XoZlgiStwL,waist,body weight,abs,reverse_plank_with_leg_lift,waist,bodyweight,waist,core,core,FALSE,FALSE,beginner,3,3,40,30,60,2,3,3,10-15,10-20,12-25,200
677,ring dips,https://v2.exercisedb.io/image/0k68uYx47NuaZQ,upper arms,body weight,triceps,ring_dips,upper_arms,bodyweight,upper_arms,upper_body,strength,TRUE,FALSE,beginner,4,7,40,90,180,3,4,5,08-12,06-10,04-08,570
2571,rocking frog stretch,https://v2.exercisedb.io/image/KupPkwUWbgxpFj,upper legs,body weight,glutes,rocking_frog_stretch,upper_legs,bodyweight,upper_legs,lower_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
678,rocky pull-up pulldown,https://v2.exercisedb.io/image/7cuYxpy0n9sLX5,back,body weight,lats,rocky_pull_up_pulldown,back,bodyweight,back,upper_body,strength,FALSE,FALSE,beginner,3,3,35,60,60,2,3,4,10-15,08-12,08-12,250
